Time,kW Total,kVAr R,kVA R,Volts R,Amps R
23-04-18 / 16:00,0.38,0.14,0.41,244.74,1.67
23-04-18 / 17:00,0.16,0.14,0.21,245.14,0.87
23-04-18 / 18:00,0.04,0.11,0.11,241.81,0.49
23-04-18 / 19:00,0.0,0.06,0.06,242.38,0.24
23-04-18 / 20:00,0.0,0.06,0.06,245.47,0.24
23-04-18 / 21:00,0.0,0.06,0.06,244.08,0.24
23-04-18 / 22:00,0.0,0.06,0.06,245.44,0.24
23-04-18 / 23:00,0.0,0.06,0.06,243.39,0.24
24-04-18 / 00:00,0.0,0.06,0.06,247.12,0.24
24-04-18 / 01:00,0.0,0.06,0.06,244.76,0.24
24-04-18 / 02:00,0.0,0.06,0.06,245.26,0.24
24-04-18 / 03:00,0.0,0.06,0.06,245.97,0.24
24-04-18 / 04:00,0.0,0.06,0.06,246.05,0.24
24-04-18 / 05:00,0.0,0.06,0.06,245.13,0.24
24-04-18 / 06:00,0.0,0.06,0.06,242.34,0.24
24-04-18 / 07:00,0.0,0.05,0.05,243.63,0.24
24-04-18 / 08:00,0.0,0.05,0.05,244.49,0.24
24-04-18 / 09:00,0.0,0.06,0.06,242.99,0.24
24-04-18 / 10:00,0.0,0.06,0.06,242.35,0.24
24-04-18 / 11:00,0.0,0.05,0.05,243.58,0.25
24-04-18 / 12:00,0.0,0.06,0.06,243.87,0.24
24-04-18 / 13:00,0.0,0.06,0.06,246.96,0.25
24-04-18 / 14:00,0.0,0.06,0.06,243.71,0.24
24-04-18 / 15:00,0.0,0.06,0.06,245.16,0.24
24-04-18 / 16:00,0.0,0.06,0.06,242.94,0.24
24-04-18 / 17:00,0.0,0.06,0.06,244.01,0.24
24-04-18 / 18:00,0.01,0.06,0.06,244.22,0.24
24-04-18 / 19:00,0.0,0.05,0.05,241.85,0.24
24-04-18 / 20:00,0.0,0.06,0.06,244.05,0.24
24-04-18 / 21:00,0.0,0.06,0.06,244.9,0.24
24-04-18 / 22:00,0.0,0.05,0.05,244.26,0.24
24-04-18 / 23:00,0.0,0.06,0.06,244.5,0.24
